name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
WeSendit,https://www.eu-startups.com/directory/wesendit-2/,Switzerland,"WeSendit Private or Business account makes your life easier. Your data is safer than ever and you save valuable time. Secure and fast data transmission makes the difference today. Even larger amounts of data have to get from A to B faster and faster. Slow and cumbersome transfers, aborted transmissions, inexplicable error messages or even data loss cost time, money and nerves. Projects sink into chaos, orders fail, colleagues and superiors react angrily, customers jump ship. Your plans and projects develop over time. Your company and your data volume grow and with it your demands.",,Affoltern Am Albis,"Internet, Data Transmission, Larger Amounts",No funding announced yet,2018,https://wesendit.info/,,,CH
WeSendit,https://www.eu-startups.com/directory/wesendit/,Switzerland,"Secure and fast data transmission makes the difference today. Even larger amounts of data have to get from A to B faster and faster. Slow and cumbersome transfers, aborted transmissions, inexplicable error messages or even data loss cost time, money and nerves. Projects sink into chaos, orders fail, colleagues and superiors react angrily, customers jump ship.",,Affoltern Am Albis,Internet,No funding announced yet,2018,https://www.wesendit.info/,,,CH
Witty Works,https://www.eu-startups.com/directory/witty-works/,Switzerland,Our B2B SaaS detects unconscious bias in communication thanks to a de-biased language AI data model. It supports companies to consistently apply inclusive language and corporate language rules.,,Zurich,"B2B, Information Technology, Software",Between €500K-€ 1 million,2018,https://www.witty.works/,,,CH
Medudoc,https://www.eu-startups.com/directory/medudoc/,Switzerland,"We bridge the digital gap of evolved patient expectations, arbitrary regulations and economically pressured healthcare providers like hospitals and doctors.
As an interdisciplinary team, we strive to optimize patient education processes for physicians and patients by creating intelligible patient education videos in close cooperation with medical experts.",,Lucerne,"Education, Health Care, Internet, SaaS, Software",Between €1 million-€ 2.5 million,2018,http://medudoc.com,,,CH
Monnos,https://www.eu-startups.com/directory/monnos/,Switzerland,"Monnos brings together Brokerage, CryptoBank and Social Investment Network services. It has the largest portfolio of cryptocurrencies in Brazil with 60+ assets and a card with up to 5% Cashback so you can start using your cryptos on a daily basis. Monos are giving newer crypto users the chance to follow experienced traders through features such as Sync Strategy. Algorithms take into account a multitude of indicators to provide an impartial ranking on the performance of each strategist.
We believe that Crypto was born to change people's relationships with their finances.",,Zug,"FinTech, Information Technology & Services, Brokerage, Crypto Bank",No funding announced yet,2018,http://monnos.com,,,CH
Liberty MedTech,https://www.eu-startups.com/directory/liberty-medtech/,Switzerland,"Liberty is an innovative hybrid solution that allows all people with mobility impairments to move independently while in bed and rehabilitate. It is controlled directly by nurses, physiotherapists and the user with a customizable remote control. It is a light structure that can fit with every room and bed. 
Liberty MedTech will solve a vital problem for all people affected with mobility problems with a simple revolutionary solution.",,Lugano,"Health Care, Information Technology, Software",Between €1-€100K,2018,http://liberty.clearaxess.com/,,,CH
Lipidon,https://www.eu-startups.com/directory/lipidon/,Switzerland,"Lipidon is a bioanalytical service company that provides lipid research development and customer-oriented lipidomics analytical service.
The company specializes in the identification and development of novel biomarkers for the life sciences, cosmetic and food industries.",,Zurich,"Analytics, Biotechnology, Chemical",Between €1-€100K,2018,http://lipidon.com,,,CH
SwissDevJobs.ch,https://www.eu-startups.com/directory/swissdevjobs-ch/,Switzerland,"The 1st Swiss Quality IT Job Board - find your next job opportunity based on expected salary, technologies and location.","SwissDev Jobs is the first Swiss IT job board built with Software Developers in mind.
Our goal is to bring more transparency, openness and diversity to the Swiss IT market.
We want to make the job search process for Software Engineers more enjoyable by gathering all job postings in Switzerland and presenting them in an informative way.",Zurich,software developer jobs switzerland,,2018,https://swissdevjobs.ch/,,,CH
GoEat,https://www.eu-startups.com/directory/goeat-gmbh/,Switzerland,"GoEat GmbH develops a one-stop-shop food & travel platform, called GoEat Me, with a major specialty: we employ data to personalize user experience based on their preferences and allow users to redeem their fidelity points to plant trees or recycle plastic bottles.","GoEat GmbH is a Swiss-based startup, with offices in Luzern and Ho Chi Minh City, founded in 2018.
We develop a one-stop-shop platform, called GoEat Me, helping 105m Millennials and Gen Z living in Europe find food & restaurants easier by enabling them from discovering restaurants, booking a table to ordering food at home within one app. We work with other companies for table reservation/food delivery and make money from the affiliate model. We offer a monthly subscription called GoPassport allowing our users to experience privileges from our partners, whilst saving more money for eating out.
The global online food delivery sector is estimated to reach USD 365b by 2030 from USD 35b today . We target 102m Millennials and Gen Z living in Europe since these generations spend the most on travel & food. For example, the UK spend 25% of their annual income dining out and over $5K for vacations. These generations are worth EUR 78B p.a and we plan to address 5-8% of this market. Future developments will cover Asia.",Luzern,"goeatme, ICT, travel tech, consumer service",No funding announced yet,2018,www.goeat.me,,,CH
Covee Network,https://www.eu-startups.com/directory/covee-network/,Switzerland,Covee Network is an organization for decentralized information science collaboration. The confided in stage for information laborers. Covee assists shrewd with peopling track down partners - and coordinates them with compensating projects.,,Zurich,"Blockchain, Freelance, Outsourcing, Virtual Assistant",Between €1 million-€ 2.5 million,2018,http://covee.network,,,CH
CYSEC,https://www.eu-startups.com/directory/cysec/,Switzerland,"CYSEC is an information security organization based at the EPFL Innovation Park in Lausanne, Switzerland. CYSEC acquires 360° security a single tick for compartment based responsibilities and stages through its ARCA confided in OS programming. CYSEC accomplices with driving online protection research focus to foster mechanical advancements in the space of Confidential Computing and conveys its network safety answers for any upward area.",,Lausanne,"Cyber Security, Information Technology, Security",Between €1 million-€ 2.5 million,2018,http://cysec.com,,,CH
ZoodMall,https://www.eu-startups.com/directory/zoodmall/,Switzerland,"ZoodMall is a marketplace with 7 million products from local and cross-border sellers. This Platform is targeting countries like Iraq, Uzbekistan, Jordan, Lebanon and Kazakhstan which are e-commerce emerging markets. ZoodMall is a cross-border e-commerce marketplace app.",,Lausanne,"B2C, ECommerce, cross-border sellers",No funding announced yet,2018,https://zoodmall.com/,,,CH
UniSieve,https://www.eu-startups.com/directory/unisieve/,Switzerland,"UniSieve supports companies from the chemical and energy industry in conserving energy and reducing waste. Its platform technology enables a unique combination of various molecular sieves and polymeric membranes, yielding reliable separation solutions.",,Zurich,"cleantech, renewable energy, sustainability",Between €5 million-€10 million,2018,https://www.unisieve.com/,,,CH
Sevensense Robotics,https://www.eu-startups.com/directory/sevensense-robotics-ag-2/,Switzerland,"Sevensense empowers mobile robots to move into crowded and fast-changing spaces and enables them to support humans. We build the eyes and brain for mobile robots to make any kind of small ground vehicle navigate in complex environments, both in- and outdoors, even when shared with people. To do so, we have embedded our advanced navigation technology into a plug & play  autonomy kit which leverages state-of-the-art camera-based 3D perception technology and proprietary sensor fusion algorithms based on Artificial Intelligence.","We at Sevensense have made it our mission to fundamentally revolutionize entire industries. With our innovative solutions, we make everyday service vehicles - from forklifts to cleaning machines - move independently and safely in dynamic indoor and outdoor spaces full of people. Repetitive, dangerous and unhygienic work in airports, railway stations, construction sites or department stores will soon be carried out by robots equipped with our technology. This way Sevensense can not only contribute to making human workplaces more interesting and safer thanks to the support of robots, but also to making operational processes more efficient and cost-effective.
The unique technology behind it has its origins in over ten years of groundbreaking research at ETH Zurich and consists of a multi-camera sensor, proprietary navigation systems and innovative machine learning techniques. Through an all-encompassing combination of software and hardware, Sevensense offers even customers with little robotics knowledge a complete and easy to integrate solution for the autonomy of their service machines.","Zurich, Switzerland","Visual SLAM, robotics, autonomy, service robots",Between €2.5 million-5 million,2018,https://www.sevensense.ch/,,,CH
SEBA Crypto,https://www.eu-startups.com/directory/seba-crypto/,Switzerland,Seba Crypto is a cryptocurrency Swiss Company. Finance redefined for the new economy.,,Zug,"cryptocurrency, finance, crypto",,2018,http://www.seba.swiss,,,CH
9T Labs,https://www.eu-startups.com/directory/9t-labs/,Switzerland,Carbon fiber composites have always either been expensive to create and have been restricted by geometric limitations. We’ve invested years to create the technology that enables the industry to print high volume carbon fiber composites.,,Zurich,"carbon fiber, geometric limitations, printing",,2018,https://www.9tlabs.com,,,CH
Gaia Membranes,https://www.eu-startups.com/directory/gaia-membranes/,Switzerland,"Gaia Membranes AG develops and manufactures ion exchange membranes for energy storage and conversion applications. 

Our ground-breaking Amphion™ membranes are the first based on amphoteric technology and the best-performing in vanadium redox-flow batteries (VRFBs). By boosting energy efficiency up to 15% above that achievable with traditional cationic/anionic membranes, Amphion™ dramatically reduces the levelised cost of storage and makes VRFBs the obvious choice for Solar + Storage.",,Windisch,"membranes, energy storage, ion exchange",,2018,https://www.gaiamembranes.com/,,,CH
Sevensense Robotics,https://www.eu-startups.com/directory/sevensense-robotics-ag/,Switzerland,"Sevensense empowers mobile robots to move into crowded and fast-changing spaces and enables them to support humans. The 7s autonomy kit provides the “eyes and brain” that mobile machinery needs to move autonomously. It is based on a fully plug-and-play HW module called Alphasense that can be easily integrated into any existing small ground vehicle. It leverages state-of-the-art camera-based 3D perception technology and proprietary sensor fusion algorithms based on Artificial Intelligence. These allow the robot to navigate reliably and safely in all environments, be it static, dynamic or in the presence of people.",,"Zurich, Switzerland","Visual SLAM, robotics, autonomy",Between €1 million-€ 2.5 million,2018,https://www.sevensense.ch/,,,CH
SafeSide,https://www.eu-startups.com/directory/safeside-2/,Switzerland,"Safeside is the first company to provide transparent digital life insurance in Switzerland - we aim to individualise insurance premiums by continuously integrating health data into our insurance offering.

We do not upsell. By using the latest technology to avoid both agents and doctor's visits, we make the process efficient, simple to understand and to effect.

The result is individual coverage in under 3 minutes.

Life is too beautiful to worry!",,Zürich,"life insurance, digital, financial services,",No funding announced yet,2018,https://www.safeside.life/en,,,CH
Optimal 3D,https://www.eu-startups.com/directory/optimal-3d/,Switzerland,"Optimal 3D aims at simplifying image production. Helping companies to simplify image production with 3D product renderings for the retail, medical and industrial markets.",,Menziken,"3d visualization, 3d rendering, 3d animation",No funding announced yet,2018,https://www.optimal-3d.com,,,CH
SafeSide,https://www.eu-startups.com/directory/safeside/,Switzerland,"Safeside is the first company to provide transparent digital life insurance in Switzerland - we aim to individualise insurance premiums by continuously integrating health data into our insurance offering.

We do not upsell. By using the latest technology to avoid both agents and doctor's visits, we make the process efficient, simple to understand and to effect.

The result is individual coverage in under 3 minutes.",,Zürich,"life insurance, digital, financial services,",No funding announced yet,2018,https://www.safeside.life/en,,,CH
Travelgam,https://www.eu-startups.com/directory/travelgam/,Switzerland,"Travelgam lets you book cheap weekend flights. Just tell us where, we will find you when. We are a Swiss-based travel company and our objective is to provide travellers with a transparent and simple calendar where you can make travel decisions faster. Whilst there are many other travel sites out there, we are the only search engine on the market which truly allows you to find the cheapest flights by providing you with a price overview for the next 8 months.",,Zürich,"travel, flights",No funding announced yet,2018,https://www.travelgam.com,,,CH
Houston & Ko,https://www.eu-startups.com/directory/houston-ko/,Switzerland,Houston & Ko (H&K) is a network of hand-picked high skilled freelancers supporting organisations and entrepreneurs to focus on key value-driving activities.,,Zurich,"Business Support, Outsourcing, Personal Assistant, Virtual Assistant, Process anagement, Project Management",No funding announced yet,2018,https://houstonandko.com/,,,CH
Yapeal,https://www.eu-startups.com/directory/yapeal/,Switzerland,YAPEAL is developing a blockchain-inspired digital-to-the-core and cloud-native banking platform for the Swiss Retail banking market.,,Zürich,"Banking, Financial Services",No funding announced yet,2018,yapeal.ch/,,,CH
Komgo,https://www.eu-startups.com/directory/komgo/,Switzerland,Komgo developer of a blockchain based open platform designed to digitalise the trade and commodities finance sector. Komgo powers a secure network of verified actors to digitalize complex workflows and transactions.,,Geneva,"Information Services, Information Technology",No funding announced yet,2018,komgo.io/,,,CH
#tide,https://www.eu-startups.com/directory/tide-2/,Switzerland,"We believe in cleaner oceans, a sustainable lifestyle and in waste as a resource. For this reason we have partnered with Swiss scientists to develop #tide ocean material made from 100% ocean-bound plastic. We transform the plastics threatening our oceans into new sustainable products. Because we believe in the necessity of a circular economy.","Every year, more than eight million tons of plastic trash land in the ocean and on coastlines. #tide has teamed up with multiple organisations to collect and pull what already exists and produce a material that can be used in a range of sustainable products.
Our versatile granular material is made completely from plastic collected from the ocean – all kinds of plastic, not just PET bottles. Hard plastics like shampoo bottles and plastic containers can be used to recreate new plastic products such as watches, furniture and electronic devices, or in the interior of a car; PET bottles can be used for fabric that becomes a watch strap, clothing or carpet.
The granular material is tested and produced in partnership with the Institute for Materials Technology and Plastics Processing (IWK), a branch of the University of Applied a (Hochschule für Technik Rapperswil) in Rapperswil, Switzerland.
Everyone has their part to play. We believe it is our duty to take action where it is most desperately needed. And in turn, we give you the opportunity to do your part, too.",Basel,"Switzerland, recycling, environment",,2018,https://tide.earth/,,,CH
myReach App,https://www.eu-startups.com/directory/reach-your-second-brain/,Switzerland,"Store all your digital knowledge, from documents to websites, all in one network – instantly reachable, like a personal Google for your content.","myReach is a Mobile App designed to work like your brain. It helps you capture and connect all your ideas, memories, thoughts and inspiration on the go.
Can’t find an article you read last week? Tired of having 50 open pages on your phone? myReach is the all-in-one productivity tool that centralises all your information (websites, documents, notes, articles, pictures, contacts, etc.) and stores them in a powerful graph database for a more intuitive collaboration between the human and digital memory.
It keeps your most important information at your fingertips, interconnected and easily reachable. Never lose anything, ever again.
Keep your information within reach with myReach. 
Anywhere, anytime.",Fribourg,"productivity, saas, app, bookmark, storage",No funding announced yet,2018,https://rea.ch,,,CH
myReach,https://www.eu-startups.com/directory/myreach/,Switzerland,"Your second brain – a personal ChatGPT for all your documents, PDFs, notes and articles, so you can search for them the way you think.","myReach is a free mobile app that works like your second brain, powered by AI.
It’s a place to save your knowledge, with a personal ChatGPT like an intelligent AI-Assistant that answers all your questions.
You can save any digital data (files, websites, pictures, notes, contacts, etc) and connect them to other relevant things. This way, you can find things quickly when you need them. You don’t need to remember exact names of files, or locations of pictures - just something about their context. You can also take it one step further and ask questions about your things, through our AI-powered Chatbot called Rich.
•	For instance, rather than reading through endless pages of a contract, ask Rich about it. You don’t even need to find the PDF, just open the Chat and ask away.
•	What if you’ve found an interesting article but it’s too long? Ask Rich to summarise it.
•	And if you’re travelling somewhere and a friend once sent you recommendations about the place. Get Rich to remind you what those were.
As long as it’s saved in myReach you can ask Rich anything about your things and it will answer. It’s like a ChatGPT, but for your things. 
In essence, myReach is YOUR PERSONAL KNOWLEDGE HUB, POWERED BY AI AND DESIGNED FOR PRODUCTIVITY.",Fribourg,"ChatGPT, productivity, second brain",No funding announced yet,2018,https://myreach.io,Active,https://www.linkedin.com/company/my-reach/,CH
iSense,https://www.eu-startups.com/directory/isense/,Switzerland,"iSense, based in Zurich, Switzerland, is a startup that provides a universal language of flavor that enables flavor-critical decisions through every stage of the workflow, for flavor houses and F&B producers. Are you frustrated with the lack of comparability of flavors taste profiles? Is your flavor collection efficient, ie simple, cost-competitive and easy to choose from? Coming from the flavors’ industry, the company knows the hurdles of not being able to make decisions based on the flavors’ main attribute: their TASTE and is ready to help . The company was founded in 2018.",,Zurich,"Taste, Flavor, F&B, Food Industry",Between €100K-€500K,2018,https://www.isensegroup.com/,,,CH
MeduSoil,https://www.eu-startups.com/directory/medusoil/,Switzerland,"MeduSoil produces and commercializes a soil stabilization agent that produces mineral calcite in the subsurface. It is involved in custom infrastructure repair works, in addition to new construction projects. The result of MeduSoil’s applications is a strong, rock-like material produced out of typical soil to serve as a solid foundation.",,Lausanne,"Civil Engineering, Technology, Environmentally",Between €100K-€500K,2018,https://www.medusoil.com/,,,CH
Micropow,https://www.eu-startups.com/directory/micropow/,Switzerland,"Micropow is an all-natural delivery system for aromas and flavors which drastically improves storability. The microPow delivery system for aromas and flavors will allow to drastically decrease the concentration of aroma compounds required to achieve the desired aroma in the end product, lead to improved sensory and functional properties in end products thanks. The unique microstructure of micro pow and extended shelf-life of active ingredients such as aromas contained in food products due to their entrapment and protection during processing and storage in micro pow.",,Zurich,"Delivery, Food and Beverage, Health Care",Between €100K-€500K,2018,https://www.micropow.ch/,,,CH
FinchTrade,https://www.eu-startups.com/directory/finchtrade/,Switzerland,Institutional-grade liquidity in digital assets,"Swiss-based FinchTrade AG provides institutional-grade liquidity in digital assets tailored to your needs. We work solely in the B2B market and help financial institutions as well as other organizations to manage their exposure to digital assets, execute small and big orders at better exchange rates, and benefit from customized settlement options.",Zug,"Small crypto exchanges, crypto OTC desks, payment service providers, crypto payment processing firms, crypto on-rampers",No funding announced yet,2018,https://finchtrade.com/,Active,https://www.linkedin.com/company/finchtrade,CH
Sygnum,https://www.eu-startups.com/directory/sygnum/,Switzerland,Sygnum Bank is a regulated Digital Asset Bank and a digital asset specialist.,"Sygnum holds a Swiss banking license, as well as a capital markets services (CMS) lisence, allowing institutional and private investors, corporates, banks, and other financial institutions to safely and securely invest in digital assets.
Customers can use a number of currencies, namely CHF, USD, EUR and SGD, to invest in popular digital assets, including Bitcoin, Ethereum, XRP, Bitcoin Cash, Tezos, and asset tokens. The bank-grade security offered by Sygnum to protect investments gives customers unrivalled peace of mind.",Zurich,"Fintech, Financial services",No funding announced yet,2018,https://www.sygnum.com/,,,CH
DAIMANI,https://www.eu-startups.com/directory/daimani/,Switzerland,"DAIMANI is a platform and app that provides exclusive VIP hospitality experiences for sports, music and cultural events attendees. They’re committed to improving and streamlining the VIP hospitality experience, they do so by partnering and working with some of the most iconic events around the globe.
DAIMANI's online marketplace shows the best available price for VIP packages, without charging reservation fees.",,Zürich,"Entertainment, Sports, Travel",No funding announced yet,2018,https://www.daimani.com/,,,CH
Crowd Container,https://www.eu-startups.com/directory/crowd-container/,Switzerland,Crowd Container's vision is to build a network of consumers and small producers that enables completely transparent trade in unique foods worldwide. It makes food supply chains 100% transparent and great food available. The company has been organizing bulk food orders directly from producers since 2016.,,Zürich,"Consumer Goods, Food and Beverage, Retail",Between €500K-€ 1 million,2018,https://crowdcontainer.ch/,,,CH
Cerealia,https://www.eu-startups.com/directory/cerealia/,Switzerland,"Founded in 2018, Cerealia is a blockchain powered agri-trading platform and fintech company. It is the first professional online marketplace for international physical agri-trading that enables traders to transact with, so far unavailable, high certainty.",,Pully,"Agriculture, Blockchain, FinTech, Information Technology",No funding announced yet,2018,https://cerealia.ch/,,,CH
MarbleCards,https://www.eu-startups.com/directory/marblecards/,Switzerland,"Marble lets anyone create unique digital cards based on URLs, It’s a way to create and trade unique digital cards based on URLs. Each card is a generative art frame, where the Open Graph preview of the URL is shown. nce a card is created, the frame for that URL is claimed forever. Every web page can only be marbled once and by one person only. All Marble cards are non-fungible tokens built on Ethereum. To marble is to mint a frame for a URL. No third-party content is claimed or saved on any blockchain.",,Malmö,"Blockchain, Open Graph",No funding announced yet,2018,https://Marble.cards,,,CH
Volubus,https://www.eu-startups.com/directory/volubus-2/,Switzerland,"Volubus connects travel organisers, communities and organisations with local minibus and coach travel solutions in over 30 countries and 200 cities.  Utilising optimised industry data and technology, we reduce the time and money spent on the search, booking and management of group ground transport, whilst improving access to efficient transport solutions.",,Malmö,"Internet, Transportation, Travel",Between €100K-€500K,2018,http://www.volubus.com,,,CH
Sea Change Wine,https://www.eu-startups.com/directory/sea-change-wine/,Switzerland,Sea Change Wine is passionate about protecting our oceans and great tasting wine. Every bottle helps fund ocean conservation projects across the globe and its minimal packaging reduces waste and environmental impact.,,Surrey,"wine, sustainability, ocean, ethical",No funding announced yet,2018,https://seachangewine.com,,,CH
mitipi,https://www.eu-startups.com/directory/mitipi/,Switzerland,mitipi combines smart home technology with insurance for a safer and more convenient life.,"mitipi was founded by a diverse team, collectively striving to ban the word ""burglary"" into history books. With mitipis first product, Kevin, people can leave their homes feeling assured that they will yet again return to a safe and secured house, wherever they go. In Switzerland, Kevin is combined with an extensive home insurance that was developed exclusively for mitipi by the insurance partner, smile direct. mitipi is headquartered in Zurich, Switzerland.
For more information, please visit http://mitipi.com/.",Zurich,"Smart Home, Insurance, Safety",,2018,mitipi.com,,,CH
GarageFox,https://www.eu-startups.com/directory/garagefox/,Switzerland,GarageFox is an online marketplace for car repairs that enable users to get instant quotations from car mechanics.,"GarageFox is a Swiss online car repair and servicing platform.
Broken car? Don't waste time calling auto repairs. Enter problem details into GarageFox and get an instant quote. Pick the best offer for you: by price, reputation or proximity.","Zug, Switzerland","Marketplace, Cars, Repair",,2018,https://garagefox.ch/,,,CH
PANDY AI,https://www.eu-startups.com/directory/pandy-ai/,Switzerland,The Number 1 AI Executive Recruiter specialized in Global Private Banking / Wealth Management,,Switzerland,"AI, Wealth, Finance",,2018,www.pradov.com,,,CH
Kepler Finance,https://www.eu-startups.com/directory/kepler-finance/,Switzerland,"Kepler Finance is a free global database of active blockchain businesses, funding rounds, teams, and digital securities.","Kepler Finance is dedicated to providing comprehensive data focused on the DLT and digital asset sector for investors.
Working on due diligence? Evaluating an investment opportunity? We have the data you need. Our own research into blockchain companies shows us how fragmented blockchain investment data is at both the company and industry levels. We believe that solving this problem will increase trust and unlock value in the sector.",Zug,"Database, Blockchain, Digital",,2018,https://kepler.finance,,,CH
Talentplot,https://www.eu-startups.com/directory/talentplot/,Switzerland,Help companies and users find their next job.,"TalentPlot is a professional platform which displays thousands of the job offers from various services across the entire world. On our job board, you will find many categories and occupations because we are not limited only to the most popular ones. Everything is completely free so don't worry about being charged for anything on our website.",Pfäffikon,"jobs, job board, talents",,2018,https://talentplot.com,,,CH
HYGH,https://www.eu-startups.com/directory/hygh/,Switzerland,"HYGH is a peer-to-peer advertising network and content management system that connects owners of public displays with brands. Managed through an easy to use app, the HYGH platform empowers everyone to become an advertiser, regardless of budget, resources, or company size.","Currently the market for Digital Out of Home Advertising (DOOH) is slow-moving, centralized and inflexible with advertising opportunities limited to organizations with large budgets. Campaigns are typically run over an extended period of time with a high minimum screen buy-in, making them prohibitive for SMEs.
HYGHs mission is to redefine how we as a society, handle advertisements in our cities. Who should provide the infrastructure? Who should be advertising? Our objective is to establish an easy-to-use standard that enables:
Hyperlocal: Local campaigns can address local issues where people live and encourage consumers to use their purchasing power at local small businesses.
Time specific: Campaigns can be funded to run across an extended period of time or at peak periods such as rush hour.
Real-time: Campaigns can be changed in real time to react to current events as they unfold such as weather and changes in traffic flow.
Revenue generation: Advertising sites are not limited to conventionally placed screens. Any business can power up a screen and earn passive income by running advertisements in their shop, hotel or restaurant.
We have set ourselves the task of improving the status quo and democratising the advertising industry. With the straightforward HYGH Platform, generating passive income and running custom Ad-campaigns becomes the new normal. By reducing the time needed to publish an advertisement from months to seconds, HYGH is going to open up a new global market for dynamic real-time advertising.",Zug,"P2P, peer-to-peer, advertising, content management",,2018,http://hygh.tech,,,CH
Lexray,https://www.eu-startups.com/directory/lexray/,Switzerland,LexRay is a decision-enabling mobile platform that empowers organizations to run their operations from anywhere.,"LexRay is a decision-enabling mobile platform that empowers organizations to run their operations from anywhere. LexRay Blockchain endeavors to build an open-source decentralized marketplace to connect decentralized applications on the Ethereum network to the existing LexRay Mobile Operations Platform and LexRay Mobile Client. We aim to increase the adoption of blockchain technology and the Ethereum network by providing our customers with access to the LexRay Decentralized Marketplace. This enables mobile operators to tap into decentralized applications, services, and infrastructure on the Ethereum network and the Web3 stack, a decentralized trustless secured backend to the Internet.",Zurich,"decision making, open source, operations",,2018,http://lexray.io,,,CH
Gmelius,https://www.eu-startups.com/directory/gmelius-ltd/,Switzerland,"Gmelius makes your inbox instantly smarter and safer. Experience a new type of CRM: lightweight, collaborative and seamlessly integrated into your main communication hub, your inbox!","Email is the number one communication tool at work, but very little has been done to improve the design and functionalities it offers. At Gmelius, we research, develop and release products that transform the inbox of thousands of professionals and companies into an advanced communication platform.",Geneva,"inbox, CRM, communication",,2018,https://gmelius.com,,,CH
nfinitiv,https://www.eu-startups.com/directory/nfinitiv/,Switzerland,"nfinitiv is an advisory firm that provides insights, initiatives and long-term expertise to start-ups and scale-ups to help accelerate growth and scale","nfinitiv is an advisory firm that provides insights, initiatives and long-term expertise to start-ups and scale-ups to help accelerate growth and scale, both nationally and internationally. Our team comprises many who've been on the front-line of start-ups and are dedicated to help you unlock your potential.
nfinitiv challenges the traditional norms of management consulting, providing quality advisory talent that delivers results by providing high-quality fact-based and analytically rigorous consultancy services to all start-ups at a value for money price point.",Geneva,"advisory firm, insights, startups",,2018,https://nfinitiv.com/,,,CH
Buybox Strategy,https://www.eu-startups.com/directory/buybox-strategy/,Switzerland,"Buybox Strategy is an eCommerce consulting firm dedicated to provide performance marketing and managed services for digital marketplace sellers, e-commerce merchants, and brand builders worldwide. With a strategic focus, we deploy proven and cutting-edge conversion methodologies for Amazon sellers to scale their success on Amazon.
Boosting organic traffic, running profitable and structured ad campaigns, increasing ROI and finally analyze the data and generate strategic reports that pave the way for optimization and growth are few of our services that help sellers grow their Amazon Business endlessly in an organized, effective manner.",,berne,"ecommerce, consulting, digital marketplace",,2018,https://www.buyboxstrategy.com/,,,CH
Maarketer,https://www.eu-startups.com/directory/maarketer/,Switzerland,"Maarketer est avant tout un logiciel de marketing, inbound marketing et ventes","Maarketer est avant tout un logiciel de marketing, inbound marketing et ventes
Cest un outil idéalisé par et pour les marketeurs.
Il a lavantage de répondre à la majorité de vos besoins, et donc vous naurez plus besoin dautres outils.
Afin den savoir plus, consultez notre site internet.",Genève,"marketing, inbound marketing",,2018,http://www.maarketer.com/,,,CH
Willpower Challenge,https://www.eu-startups.com/directory/willpower-challenge/,Switzerland,"What we do
We develop mobile apps which help users to achieve their goals more efficiently, using scientifically proven methods and artificial intelligence. Making progress on goals is one of the major sources of success and happiness in life, and willpower is the major precondition to be able to do so.","Our history
Our company was founded based on the idea that everybody should have goals, document them and work on them on a regular basis to be more happy and successful in life. Science has found many ways to improve making progress on goals. The more progress someone makes on goals, the happier he is. Precondition is that the progress is made on professional, personal and fitness goals in a well balanced manner.
Who should use our products
Everybody who would like to rely on scientifically proven methods to become happier and more successful.",Oberrüti,"app development, apps",,2018,https://www.willpower-challenge.eu,,,CH
FALOA,https://www.eu-startups.com/directory/faloa/,Switzerland,"Faloa is a content driven e-commerce for high-end designer fashion and accessories that are all vegan, sustainable and fair. The handpicked designers are breaking new ground with the use of high-tech and plant-based biomaterials.",,Bern,"e-commerce, content driven, fashion, accessories",,2018,www.faloa.com,,,CH
Znyni,https://www.eu-startups.com/directory/znyni-gmbh/,Switzerland,"Znyni - The Care Messenger App
Znyni is the event-based care messenger for people with reduced mobility who are living alone. The simple app improves social activity by virtual recurring appointments in private groups. Znyni easily enhances relations to family, friends and caregivers even in complicated situations like immobility or distant homes. 
Recurring events and automatic notifications prevent loneliness and enable caregivers to keep in touch with their patients. 
At each Znyni event, all participants take a selfie that is immediately visible to the group in a collage of all uploaded photos within the app. In addition, commenting and chat features help to stay active in a social community.",,Zürich,"care, reduced mobility, care taking",,2018,https://www.znyni.com,,,CH
Talent4GIG,https://www.eu-startups.com/directory/talent4gig/,Switzerland,"We charge a flat fee for each candidate we assess with additional fees for building custom challenges. We hire
freelance experts to conduct the review and pay them an hourly rate. Once a candidate is assessed, we can offer the results to other customers at a different price point. We average a 50% margin on each assessment.",,Zürich,"hr, hiring, freelance, candidate screening",,2018,https://talent4gig.com,,,CH
Carvolution,https://www.eu-startups.com/directory/carvolution/,Switzerland,Carvolution is a mobility services provider reshaping car ownership through their fully digital subscription service.,,Bern,"automotive, mobility, car, digital",,2018,http://www.carvolution.com/,,,CH
Mastertailor,https://www.eu-startups.com/directory/mastertailor/,Switzerland,"We take care of your satisfaction personally. we are reliable, professional and innovative, we work to meet your creative wishes and requirements with a change in fashion & style. Our areas of expertise: Tailoring, Textile Care, Mass Shirt, Measure Suit & Dry Cleaning.","We take care of your satisfaction personally. we are reliable, professional and innovative, we work to meet your creative wishes and requirements with a change in fashion & style. Our areas of expertise: Tailoring, Textile Care, Mass Shirt, Measure Suit & Dry Cleaning.
MasterTailor is a perfect solution to Laundry, Dry Cleaning, Sewing and Textile Care Services at Your Doorstep.Tailoring to measure Like a pro, with our configurator you can become a tailor yourself. Make even your suit, shirt or blouse like a pro. The configurator is safe, simple and clear. You can select and combine all variants, shapes, models and fabrics, as with a tailor suburb our configurator leads you step by step.
visit our website - http://mastertailor.ch/",zurich,,,2018,https://play.google.com/store/apps/details?id=com.mastertailor,,,CH
